org_name,addr,contact_phone
瑞宏中醫診所,台北市八德路四段673巷10號,0227676663
八德牙醫診所,台北市八德路四段678號,27464466
佳禾牙醫診所,台北市八德路四段6號,02-27423773
凱蒂醫美診所,台北市八德路四段760號,02-37651000
重生牙醫診所,台北市八德路四段772號,0227880955
奕賢骨科外科診所,台北市八德路四段774號,02-27838192
吉聖牙醫診所,台北市八德路四段7號,0227678535
明君牙醫診所,台北市八德路四段805號,27621762
陳志鑫診所,台北市八德路四段812號,0227839698
佳祐內兒科診所,台北市八德路四段91巷1號,0227687617
松山信合美眼科診所,台北市三民路 9號,27562626
啟瑞牙醫診所,台北市三民路110巷10號,0227621707
吳耳鼻喉科診所,台北市三民路113巷1之1號,0227679897
康明哲小兒科內科診所,台北市三民路136巷15號,0227675941
得揚牙醫診所,台北市三民路136巷42號,0227616784
林志聖眼科診所,台北市三民路140號,0227692376
施牙醫診所,台北市三民路143號,0227668192
光德中醫診所,台北市三民路37號,25285333
生昇復健專科診所,台北市三民路39號,25289018
李政洋身心診所,台北市三民路84號,27620086
松展牙醫診所,台北市三民路8號,274897583
杰聖診所,台北市三民路96巷1號,02-27569231
大心牙醫診所,台北市三民路97號,0227479367
三民信合美診所,台北市三民路9之7號,2760-6633
三合中醫診所,台北市三合街二段446號,28983027
吳診所,台北市三重路17號,0227830574
南港好萊塢診所,台北市三重路26號,02-27828200
德聲牙醫診所,台北市三重路30號,0227830796
聖欣牙醫診所,台北市三重路7號,27893321
品耀牙醫診所,台北市士東路125號,28748866
陳彥銘耳鼻喉科診所,台北市士東路12之1號,0228381770
千賀牙醫診所,台北市士東路14號,0228347310
京東牙醫診所,台北市士東路200巷70號,28349541
吳越夫牙醫診所,台北市士東路266巷5弄17之1號,0228352056
易和中醫診所,台北市士東路45號,28766030
寬安中醫診所,台北市士東路50號,0228369117
福元牙醫診所,台北市士東路65號,0228733620
政吉內科診所,台北市士東路67號,0228748318
柏宏中醫診所,台北市士商路78號,0228824071
蘇家醫科診所,台北市大北路20號,0228825236
陳剛朗耳鼻喉科診所,台北市大北路64號,0228827909
惠周內兒科診所,台北市大北路96號,0228812962
八千代診所,台北市大安路1段101巷10號,27781665/27215700
全新大安診所,台北市大安路1段101巷10號,27526063
旭彤診所,台北市大安路1段101巷10號,27216819
佛牙昌牙醫診所,台北市大安路1段101巷1號,02-87732735
里昂國際牙醫診所,台北市大安路1段133號,27783311/27783266
安信牙醫診所,台北市大安路1段189號,27010470
欣華安中醫診所,台北市大安路1段215號,27036508
奇璞光經方中醫診所,台北市大安路1段220巷11號,27002707
昕彤診所,台北市大安路1段65號,02-27720341
願麗忠孝醫美診所,台北市大安路1段84巷2號,02-27317133
來家牙醫診所,台北市大安路2段162號,27550608
名爵醫學診所,台北市大安路一段157巷5號,27065268
及人牙醫診所,台北市大安路一段170號,0227086512
大安春暉診所,台北市大安路一段180號,27001399
博全婦產科診所,台北市大安路一段18號,0227774437
璟德牙醫診所,台北市大安路一段206巷16號,0223255180
林青穀家庭醫學科診所,台北市大安路一段2之1號,0227317557
慶祥牙醫診所,台北市大安路一段52巷19號,27314686
頂好牙醫診所,台北市大安路一段59號,0227215915
復髮診所,台北市大安路一段73號,0227525511
當代漢醫苑中醫診所,台北市大安路一段73號,0227718936
海德堡牙醫診所,台北市大安路一段80號,27218282
長松眼科診所,台北市大安路一段一二六巷1號,27402102
大地牙醫診所,台北市大安路二段120號,0227023732
劉建宏診所,台北市大安路二段139號,02-2700-2368
守禮牙醫診所,台北市大安路二段17號,0227042857
謝林診所,台北市大安路二段21號,0227066266
力仁牙醫診所,台北市大安路二段27巷1號,0227053466
芳川牙醫診所,台北市大西路19號,2881-2214
昭亮牙醫診所,台北市大西路25號,0228821573
永慶牙醫診所,台北市大東路127號,0228817289
鴻林診所,台北市大東路128號,0228820437
福康診所,台北市大東路131號,2881-8280
楊恭熙牙醫診所,台北市大東路137號,2883-8549
柯耳鼻喉科診所,台北市大東路144號,0228828825
新長庚中醫診所,台北市大東路176號,0228837876
保安眼科診所,台北市大東路44號,28832868
德福診所,台北市大東路77號,0228811982
嚴牙醫診所,台北市大直街34巷5號,0225059478
蘇慧卿診所,台北市大南路274號,0228829955
泰和堂中醫診所,台北市大理街160巷26弄4號,23066891
七采牙醫診所,台北市大湖山莊街157號,02-87917171
廣澤堂中醫診所,台北市大業路370號,28975815
彰仁診所,台北市大業路472巷1號,0228913216
唐風牙醫診所,台北市大道路13號,27277885
友達牙醫診所,台北市大道路70號,27593099
松德牙醫診所,台北市大道路73號,27683724
明月牙醫診所,台北市大興街25號,28941988
廣安診所,台北市大龍街177巷3號,0225926735
吳震鵬牙醫診所,台北市大龍街183號,0225960793
蔡健生內、神經科診所,台北市大龍街187巷30號,0225924458
泓斌中醫診所,台北市大龍街27號,25490083
常甡中醫診所,台北市小北街11號,0228810689
立安復健科診所,台北市小北街15號,88611590
茂林牙醫診所,台北市小北街1之3號,0228831958
東成牙醫診所,台北市小北街23號,0228828322
陳瑞騰眼科診所,台北市小北街3之1號,0228829245
漢醫堂中醫診所,台北市小北街7號,02-28827798
白光牙醫診所,台北市中山北路1段58號,25717127
怡仁診所,台北市中山北路1段82號,25815656
北歐牙醫診所,台北市中山北路2段28之1號,25233363
艾寶莎醫美整形外科診所,台北市中山北路2段31號,25811000
吳寬輝診所,台北市中山北路2段36巷37號,25236238
明錦醫美時尚診所,台北市中山北路2段39巷18號,25622233
財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕兒童醫院,台北市中山北路2段92號,02-25433535
禾儒中醫診所,台北市中山北路2段98號,25671380
禾麗診所,台北市中山北路3段45號,25869988
家愛小兒科診所,台北市中山北路5段633號,28368320
得士登牙醫診所,台北市中山北路6段150號,88665848
立全復健科診所,台北市中山北路6段182號,28314669
高醫師家庭醫學科診所,台北市中山北路7段17號,02-28744545
張永恭牙醫診所,台北市中山北路一段104號,0225416083
東方整形外科診所,台北市中山北路一段122號,0225235225
花樣醫美診所,台北市中山北路一段140巷5號,02-25217172
煥儷美形診所,台北市中山北路一段145號,25623631
張文乾牙醫診所,台北市中山北路一段58號,0225114264
愛家自然診所,台北市中山北路一段66號,02-25231811
生技明生診所,台北市中山北路一段72號,25629666
森森診所,台北市中山北路一段72號,25612927
照安牙醫診所,台北市中山北路一段96巷25號,0225715021
凱硯診所,台北市中山北路七段110號,02-29461575、0927-673918
迦美診所,台北市中山北路七段14巷2之2號,28738557
先進牙醫聯合診所,台北市中山北路七段14巷2號,0228754012
羅氏皮膚科診所,台北市中山北路七段14巷2號,0228743222
徐永康整形外科診所,台北市中山北路七段15號,02-28753036
立安牙醫診所,台北市中山北路七段165之3號,0228711611
慶昇中醫診所,台北市中山北路七段190巷1號,28772346
天母牙醫診所,台北市中山北路七段29號,28713865
世康中醫診所,台北市中山北路七段39號,02-28752001
以新牙醫診所,台北市中山北路七段56之3號,0228740162
弘佑牙醫診所,台北市中山北路七段64號,0228711299
貝爾聯合診所,台北市中山北路七段82巷9號,28729980
蕭繁雄婦產科診所,台北市中山北路二段100號,0225416967
中山實美整形外科診所,台北市中山北路二段106之2號,0227646921
丘子宏眼科診所,台北市中山北路二段108號,0225217179
寬璽診所,台北市中山北路二段112號,02-25315775
春風牙醫診所,台北市中山北路二段117號,25236570、0955741919
比妳美診所,台北市中山北路二段126之3號,25812026
思雲診所,台北市中山北路二段137巷10號,25713839
鼎廬診所,台北市中山北路二段137巷37號,0225613376
台兒診所,台北市中山北路二段162號,25867873
吳佩臻診所,台北市中山北路二段162號,25867873
周昱青診所,台北市中山北路二段162號,25867873
林丹薇診所,台北市中山北路二段162號,25867873
中山民權王耳鼻喉科診所,台北市中山北路二段166號,25948759
王三郎婦產科診所,台北市中山北路二段166號,0225948758
鄭淑敏牙醫診所,台北市中山北路二段168之2號,25858670
順風美醫診所,台北市中山北路二段171號,02-25925777
媚登峰南西診所,台北市中山北路二段2號,25813151
楊菘宇整形外科診所,台北市中山北路二段2號,25236655
雅得麗生活診所,台北市中山北路二段33號,02-25239915
張歐牙醫診所,台北市中山北路二段34號,0225678180
晶點牙醫診所,台北市中山北路二段39巷10號,02-25712576
晶華美醫診所,台北市中山北路二段39巷2之2號,25111000
微煦心靈診所,台北市中山北路二段39巷6號,02-25312626
常青牙醫診所,台北市中山北路二段42巷6號,0225429026
陳眼科診所,台北市中山北路二段59之1號,0225119088
品維牙醫診所,台北市中山北路二段59巷1號,0225414349
永固牙醫診所,台北市中山北路二段59巷56號,0225110161
雅正牙醫診所,台北市中山北路二段62巷27之1號,0225233945
登彩整形外科診所,台北市中山北路二段62巷5號,25315762
李義男婦產科診所,台北市中山北路二段71號,0225239923
馨美診所,台北市中山北路二段77之1號,02-25715000
王榮彬骨科診所,台北市中山北路二段77巷2號,25816632
天心牙醫診所,台北市中山北路二段77巷39號,0225315846
澄心診所,台北市中山北路二段82號,25230480
中二牙醫診所,台北市中山北路二段84巷1號,0225637402
財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,台北市中山北路二段92號,0225433535
林錦榮牙醫診所,台北市中山北路二段99號,25415623
信義婦產科診所,台北市中山北路二段99號,25376991
承正牙醫診所,台北市中山北路二段七十七巷2號,0225518214
簡富堅牙醫診所,台北市中山北路二段九十六巷27號,2541-0685
杏華牙醫診所,台北市中山北路二段五十巷45號,02-25214026
２１世紀牙醫診所,台北市中山北路二段六十五巷9之1號,0221002122
大同股份有限公司附設醫務室,台北市中山北路三段22號,25984405
全真堂中醫診所,台北市中山北路三段55巷7號,02-25851317
魅力必緹診所,台北市中山北路三段57號,25997797
親親牙醫診所,台北市中山北路五段622號,0228357730
大豐牙醫診所,台北市中山北路五段684號,0228321183
福林診所,台北市中山北路五段685號,0228314146
育生牙醫診所,台北市中山北路五段699巷2之1號,0228313677
賴牙醫診所,台北市中山北路六段161號,0228345872
嘉民牙醫診所,台北市中山北路六段168號,0228315661
台美診所,台北市中山北路六段192號,28369595
賓大牙醫診所,台北市中山北路六段214號,28342255
鄭福山婦產科診所,台北市中山北路六段256號,28385428
梁如蘭眼科診所,台北市中山北路六段266號,0228338539
張虔熙小兒科診所,台北市中山北路六段282號,02-28361368
天晴診所,台北市中山北路六段292號,02-28355329
楊是韻皮膚科診所,台北市中山北路六段298號,28359777
士東中醫診所,台北市中山北路六段300號,28352376
吳如壽診所,台北市中山北路六段322號,0228347118
吳方棟牙醫診所,台北市中山北路六段405巷62號,28762020
永安診所,台北市中山北路六段405巷63號,28735068
永信牙醫診所,台北市中山北路六段421號,0228747234
東杏診所,台北市中山北路六段431之2號,02-28712011
士東牙醫診所,台北市中山北路六段433號,0228715423
吳俊昇眼科診所,台北市中山北路六段434號,0228734987
廖宥程齒顎矯正專科診所,台北市中山北路六段442號,02-28730555
宏誠牙醫診所,台北市中山北路六段450巷7弄1號,0228739533
林佳宏小兒科診所,台北市中山北路六段462號,0228744591
傅家義牙醫診所,台北市中山北路六段470號,0228755119
天泉牙醫診所,台北市中山北路六段726號,28738711
天母耳鼻喉科診所,台北市中山北路六段744號,0228738873
志明眼科診所〈士東聯合診所〉,台北市中山北路六段776巷82號,28743105
信恩復健科診所〈士東聯合診所〉,台北市中山北路六段776巷82號,28743105
圓山大飯店醫務診療所,台北市中山北路四段1號,0225967705
立法院總務處醫務室,台北市中山南路1號,02-23585228
國立台灣大學醫學院附設醫院,台北市中山南路7號,02 23123456
國立臺灣大學醫學院附設醫院兒童醫院,台北市中山南路8號,23123456
黃郁琳皮膚科診所,台北市中央北路1段42號,02-28911578
大眾牙醫診所,台北市中央北路2段60號,02-28928313
尤亮惠耳鼻喉科診所,台北市中央北路4段543號,28942339
余世仁復健科診所,台北市中央北路一段10號,02-28937228
怡鳴眼科診所,台北市中央北路一段136號,02-28954952
保康耳鼻喉科診所,台北市中央北路一段148號,02-28953343
柏菱牙醫診所,台北市中央北路一段154號,02-28977610
黃浩魁小兒科診所,台北市中央北路一段168號,02-28983256
永安家庭醫學科診所,台北市中央北路一段172號,28940888
大易中醫診所,台北市中央北路一段201號,28977013
耕德中醫診所,台北市中央北路一段38號,02-28930606
樂奇牙醫診所,台北市中央北路一段48號,02-28963619
林建福耳鼻喉科診所,台北市中央北路一段94號,28911206
長宏診所,台北市中央北路二段121號,02-28967372
弘欣診所,台北市中央北路二段219號,02-28948776
萬泰診所,台北市中央北路二段52號,02-28930727
揚名皮膚科診所,台北市中央北路二段66號,02-28910315
迦美牙醫診所,台北市中央北路二段9號,02-28966708
慧捷診所,台北市中央北路三段59號,28975183
博泰牙醫診所,台北市中央南路1段183號,28975000
長麗牙醫診所,台北市中央南路1段51號,28985200
瑞泰牙醫診所,台北市中央南路一段123號,28955978
逢春中醫診所,台北市中央南路一段125號,28925557
呂守廉中醫診所,台北市中央南路一段132號,28942698
慈恩耳鼻喉科診所,台北市中央南路一段13號,28978787
張晉豪診所,台北市中央南路一段155號,2891-3820
台北安媞婦產科診所,台北市中央南路一段162號,28939998
北投骨科診所,台北市中央南路一段176號,02-28961388
人德中醫診所,台北市中央南路一段179號,28920649
洪志淳皮膚科診所,台北市中央南路一段185號,28940110
翰譽耳鼻喉科診所,台北市中央南路一段189號,28959986
奇岩身心診所,台北市中央南路一段191號,2891-9008
長生堂牙醫診所,台北市中央南路一段195號,28943906
王景平眼科診所,台北市中央南路一段205號,28946580
祐民聯合診所,台北市中央南路一段207號,28951301
宇隆牙醫診所,台北市中央南路一段22號,28912125
新新英牙醫診所,台北市中央南路一段25巷25號,28978873
王小兒科診所,台北市中央南路一段34號,02 28916307
佳韻婦產科診所,台北市中央南路一段42號,28923210
洪耳鼻喉科診所,台北市中央南路一段43號,28928769
豪康診所,台北市中央南路一段57號,2891-4265
陳獻明小兒科診所,台北市中央南路一段69號,28928950
風荷牙醫診所,台北市中央南路一段72號,28925908
德祥牙醫診所,台北市中央南路一段78號,28919356
茂元中醫診所,台北市中央南路二段75號,02 28920860
吳偉光診所,台北市中正街77號,28953210
維育牙醫診所,台北市中正路120號,2885-5032
悅庭牙醫診所,台北市中正路172號,(02)28342727
承新中醫診所,台北市中正路203號,28815566
榮庚皮膚科診所,台北市中正路210之2號,0228342633
上品小兒科診所,台北市中正路219號,2883-7273
何敦恥診所,台北市中正路221號,0228812836
愛齒牙醫診所,台北市中正路234號,0228342841
陳慶成牙醫診所,台北市中正路240號,0228333452
謝宏基耳鼻喉科診所,台北市中正路249之3號,0228819168
士林小兒科診所,台北市中正路249號,28812485
士林仁愛婦產科診所,台北市中正路272號,0228326658
優儷芙生活診所,台北市中正路300號,28363314
端容牙醫診所,台北市中正路320號,0228313248
黃耀明診所,台北市中正路322號,0228320657
寶安中醫診所,台北市中正路407號,28825335
揚德健康診所,台北市中正路436號,28362868
臺北市立聯合醫院附設士林中醫門診部,台北市中正路439號,28836268
臺北市立聯合醫院附設士林門診部,台北市中正路439號,0228813039
正齡牙醫診所,台北市中正路452號,28339903
同慶中醫診所,台北市中正路615號,02-28163032
健原診所,台北市中正路627號,0228116409
十方中醫診所,台北市中和街228號,02-28968883
大順耳鼻喉科診所,台北市中和街236號,02-28964588
清田婦產科家醫科診所,台北市中和街268號,02-28931323
永翰牙醫診所,台北市中和街270號,02-28985071
蔡秉勳小兒科診所,台北市中和街281號,02-28966525
誠鴻牙醫診所,台北市中和街282號,28948555
中和牙醫診所,台北市中和街283號,02-28942377
臺北市北投健康管理醫院,台北市中和街2號,02-28988686
五洲牙醫診所,台北市中和街309號,02-28911432
鑫鑫牙醫診所,台北市中和街329號,28971585
心祥診所,台北市中和街386之1號,02-28916421
永成牙醫診所,台北市中和街397號,02-28976611
金牙醫診所,台北市中和街424號,02-28974597
周仁德診所,台北市中和街55號,02-28973177
國瑞牙醫診所,台北市中坡北路11號,87856708
美嘉牙醫診所,台北市中坡北路2號,0226511135
日康復健科診所,台北市中坡南路16號,87261295
德心牙醫診所,台北市中坡南路21號,0226538027
中坡耳鼻喉科診所,台北市中坡南路29號,27850329
大新診所,台北市中坡南路76號,27590749
敦美牙醫診所,台北市中坡南路80號,27598256
自在診所,台北市中坡南路84號,27268199
瑞祥牙醫診所,台北市中原街151號,0225978818
隆昌牙醫診所,台北市中原街48號,0225210320
有聲中醫診所．,台北市中原街50號,0225603773
松柏復健科診所,台北市中華路2段426之1號,23049595
鈞安診所,台北市中華路2段431號,02-23092030
漢宗小兒科診所,台北市中華路2段434號,23039022
萬華衛康內科診所,台北市中華路2段484巷14之1號,02-23092807
台新園牙醫診所,台北市中華路一段170號,23888581
京采整形外科診所,台北市中華路一段170號,23713877
程惠政中醫診所,台北市中華路一段170號,23882368
中華愛爾麗整形外科診所,台北市中華路一段90號,23820999
君綺時尚診所,台北市中華路一段90號,23883333
廖元凱復健科診所,台北市中華路二段100號,0227553750
欣揚牙醫診所,台北市中華路二段142.144號,23369288
古亭中心耳鼻喉科診所,台北市中華路二段161號,0223064652
佳仁牙醫診所,台北市中華路二段165之1號,0223025627
張孟源內科診所,台北市中華路二段325號,0223098600
華慶牙醫診所,台北市中華路二段339號,23018190
吳明修診所,台北市中華路二段40.42號,02-23066466
播生中醫診所,台北市中華路二段422號,0223039773
青年診所,台北市中華路二段424號,23032450
岐善中醫診所,台北市中華路二段484巷14之3號,23092545
樺昌耳鼻喉科診所,台北市中華路二段524號,0223091791
林民健牙醫診所,台北市中華路二段532號,0223032628
視強眼科診所,台北市中華路二段598號,0223075344
同仁院醫療財團法人萬華醫院,台北市中華路二段606巷6號,0223059292
亞洲皮膚科診所,台北市中華路二段65號,0223110118
宏德牙醫診所,台北市中華路二段66號,0223086699
慈恩診所,台北市中華路二段75巷1弄21號,23812045
大埔牙醫診所,台北市中華路二段99號,0223882169
口天牙醫診所,台北市丹陽街22號,23222554
聿麒中醫診所,台北市五分街93號,26332058
慈銨診所,台北市五分街95號,0226313684
夏凱納生活診所,台北市五原路15號,02-25558313
林錦祥耳鼻喉科診所,台北市五常街91號,02 25053069
橙品牙醫診所,台北市仁愛路2段110號,23570689
亞漾仁愛時尚醫美診所,台北市仁愛路2段3號,02-23581777
艾睿克美麗生活診所,台北市仁愛路2段92巷7號,23587100
養齡診所,台北市仁愛路3段125號,27781383
哈利路亞曾英欽診所,台北市仁愛路3段29號,0227115573
晴天身心精神科診所,"台北市仁愛路4段	151巷21號",02-87716545
仁愛凱蒂醫美診所,台北市仁愛路4段105巷1號,02-27736000
好萊塢診所,台北市仁愛路4段105巷5號,02-27717771
聖緹雅醫美整形外科診所,台北市仁愛路4段107號,02-27526580
賽爾拉雅特時尚診所,台北市仁愛路4段122巷26號,27553899
逸品牙醫診所,台北市仁愛路4段27巷4弄16號,27111002
台北亞緻診所,台北市仁愛路4段2號,27067585
南陽診所,台北市仁愛路4段310之3號,27840120
願麗醫美診所,台北市仁愛路4段33號,27311732
新紐約牙醫診所,台北市仁愛路4段402號,02-27080298
哈佛牙醫診所,台北市仁愛路4段411號,02-27728939
仁一牙醫診所,台北市仁愛路4段449號,02-27730222
敦南牙醫聯合診所,台北市仁愛路4段4號,23257537
懿安診所,台北市仁愛路4段4號,27018088
正誠牙醫診所,台北市仁愛路4段79號,87716277
長弓牙醫診所,台北市仁愛路二段26號,0223942574
美東牙醫診所,台北市仁愛路二段43號,23577672
東京風采整形外科診所,台北市仁愛路二段48號,02-23581738
博安牙醫診所,台北市仁愛路二段71號,0223911762
尚志塾遠絡診所,台北市仁愛路二段74之2號,23973807
新芽牙醫診所,台北市仁愛路二段92巷7號,23410181
洛城牙醫診所,台北市仁愛路三段25號,0227319311
青田牙醫診所,台北市仁愛路三段26之3號,33225151
新禾牙醫診所,台北市仁愛路三段49號,02-27720750
雅品牙醫診所,台北市仁愛路四段101號,0227319155
微顏整形外科診所,台北市仁愛路四段107號,27728887
聖緹雅醫美皮膚科診所,台北市仁愛路四段109號,27755680
綺顏診所,台北市仁愛路四段109號,27773636
中山醫療社團法人中山醫院,台北市仁愛路四段112巷11號,02-27081166
杏群牙醫診所,台北市仁愛路四段112巷12號,27069691
聯醫病理中心,台北市仁愛路四段112巷9弄7號,27024782
日月星診所,台北市仁愛路四段137號,02-27791508
名流牙醫診所,台北市仁愛路四段137號,0227760577
柏生聯合診所,台北市仁愛路四段137號,27772079
來德牙醫診所,台北市仁愛路四段145號,87710071
新慶生診所,台北市仁愛路四段151巷36號,87710288
劉志鴻婦產專科診所,台北市仁愛路四段25號,0227785580
誼安診所,台北市仁愛路四段25號,87730081
國泰醫療財團法人國泰綜合醫院,台北市仁愛路四段266巷6號,0227082121
名祥牙醫診所,台北市仁愛路四段27巷4弄6號,0227117376
華研牙醫診所,台北市仁愛路四段2號,27034643
謝牙醫診所,台北市仁愛路四段300巷26弄9號,0227041269
陽昇牙醫診所,台北市仁愛路四段345巷15弄14號,0227312892
復光牙醫診所,台北市仁愛路四段390號,0227066482
光本皮膚科診所,台北市仁愛路四段407之1號,0227719643
泰仁牙醫診所,台北市仁愛路四段407之2號,0227412442
本華牙醫診所,台北市仁愛路四段413號,27517896
蔡青松整形外科診所,台北市仁愛路四段419號,0227316837
伯特利身心診所,台北市仁愛路四段458號,27200938
盧樹森中醫診所,台北市仁愛路四段460號,27580505
協力牙醫診所,台北市仁愛路四段4號,27016800
臺北市議會醫務室,台北市仁愛路四段507號,
台北520診所,台北市仁愛路四段520號,27206520
佳醫美人診所,台北市仁愛路四段66號,27086333
宏恩醫療財團法人宏恩綜合醫院,台北市仁愛路四段71巷1號,0227713161
李治華整形外科診所,台北市仁愛路四段79號,0227727975
游鴻儒皮膚科診所,台北市仁愛路四段一五一巷36號,87719911
敦化芝加哥牙醫診所,台北市仁愛路四段一五一巷39號,0227315566
宜仁堂中醫診所,台北市仁愛路四段三OO巷九弄2號,27080832
漂亮整形外科診所,台北市仁愛路四段三四五巷四弄26號,28778383
信華牙醫診所,台北市內江街78號,23811054
張碧蓮中醫診所,台北市內江街80號,0223611639
連安診所,台北市內湖區路一段619號,26276705
西湖牙醫診所,台北市內湖路1段285巷4號,0227987143
力康復健科診所,台北市內湖路1段358號,02-26580866
加安耳鼻喉科診所,台北市內湖路1段401號,26277869
晴安診所,台北市內湖路1段687號,27995800
焉醫師診所,台北市內湖路2段357之1號,27932008
康豪牙醫診所,台北市內湖路一段217巷27號,02-26279292
育睿診所,台北市內湖路一段217巷35號,2656-0801
喜悅牙醫診所,台北市內湖路一段248號,26560580
美立華牙醫診所,台北市內湖路一段27號,2659-0179
欣仁牙醫診所,台北市內湖路一段285巷27弄5號,0227986210
西湖安康診所,台北市內湖路一段285巷65弄18號,0226580838
誠心牙醫診所,台北市內湖路一段285巷65弄23號,87976001
李宜霖診所,台北市內湖路一段300號,26582669
陳喬鴻眼科診所,台北市內湖路一段300號,87515125
愛惟美診所,台北市內湖路一段300號,26561988
忠信牙醫診所,台北市內湖路一段335號,0227986357
涵堤牙醫診所,台北市內湖路一段379號,26272022
魏穀年診所,台北市內湖路一段403號,0226572691
前衛牙醫診所,台北市內湖路一段411巷10號,0227994234
誠康診所,台北市內湖路一段585號,2657-2585
麗緻牙醫診所,台北市內湖路一段609號,87515661
維欣牙醫診所,台北市內湖路一段667巷1號,2657-2388
晴渼診所,台北市內湖路一段667巷3號,2657-5636
永霖牙醫診所,台北市內湖路一段673號,0227992297
力奇牙醫診所,台北市內湖路一段737巷26號,0226582776
敏聖內兒科診所,台北市內湖路一段737巷27號,0227987856
文心牙醫診所,台北市內湖路一段737巷50弄31號,0226571134
仁弘耳鼻喉科診所,台北市內湖路一段737巷50弄37號,02-26596360
萬居牙醫診所,台北市內湖路一段三二三巷四弄1號,27992346
麗湖牙醫診所,台北市內湖路二段100號,0226593003
皇家牙醫診所,台北市內湖路二段103巷48之3號,0226276756
宋小兒科診所,台北市內湖路二段25號,0227999366
卓家泉安堂老舖中醫診所,台北市內湖路二段353號,0227909217
中國醫藥大學附設醫院臺北分院,台北市內湖路二段360號,02-27919696
立安診所,台北市內湖路二段365號,0227933632
潘渭祥牙醫診所,台北市內湖路二段367號,0227917728
丰采牙醫診所,台北市內湖路二段391號,02-27903265
林牙醫診所,台北市內湖路二段395號,0227922131
敬偉牙醫診所,台北市內湖路二段39之1號,0227975555
吳坤駿診所,台北市內湖路二段468號,87926606
憫泰中醫診所,台北市內湖路二段488號,27955986
平安牙醫診所,台北市內湖路二段52之3號,87977278
台北諾貝爾眼科診所,台北市公園路13號,23705666
長虹診所,台北市公園路13號,23122266
好健康診所,台北市公園路30號,23891690，23811896
醫療財團法人好心肝基金會好心肝診所,台北市公園路30號,23700827
